epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,0.4837317428363751,0.7572424892703863,0.757340103903478,0.43916259209314984,0.7898989898989899,0.7949882303864604,0.0001,8.801875829696655
2,0.4048640554043356,0.8106223175965666,0.8104674483781462,0.48508692887997384,0.7737373737373737,0.7822506409662372,0.0001,8.799314498901367
3,0.3835391339570156,0.8291309012875536,0.829147382327523,0.5069708147434273,0.7616161616161616,0.7722975815720318,0.0001,8.797936916351318
4,0.3554034667976936,0.8436158798283262,0.8436226166402431,0.45599393480353884,0.7898989898989899,0.7963203275361568,0.0001,8.79006838798523
5,0.34067529235275007,0.8471030042918455,0.8471030042918455,0.4674052645085436,0.797979797979798,0.8050198959289868,1e-05,8.798143148422241
6,0.34193051091591176,0.846030042918455,0.8460431074432315,0.4712870337370068,0.7757575757575758,0.7842906918508684,1e-05,8.824174165725708
7,0.344771643373076,0.8446888412017167,0.844703821613243,0.4713099337436936,0.7898989898989899,0.7972206917661463,1e-05,8.791752576828003
8,0.32275673213051115,0.8572961373390557,0.8573117852748808,0.462174019458318,0.7919191919191919,0.7983980239920382,1e-05,8.800623893737793
9,0.32597110478023605,0.8546137339055794,0.8546446061802282,0.45366653530585643,0.795959595959596,0.8020765609802113,1.0000000000000002e-06,8.795269250869751
10,0.332046729396597,0.8551502145922747,0.8551502145922747,0.4761607602163397,0.7838383838383839,0.7918770247766488,1.0000000000000002e-06,8.794386863708496
11,0.3342425301671028,0.8540772532188842,0.8541147170685441,0.4697098832088287,0.7818181818181819,0.7884864939798549,1.0000000000000002e-06,8.807401657104492
