epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,0.5719193398952485,0.7,0.699017199017199,0.5899470772432245,0.717391304347826,0.7106918238993711,0.0001,10.700112104415894
2,0.4431971711771829,0.8107142857142857,0.8107118713248893,0.5147819357073825,0.782608695652174,0.780952380952381,0.0001,10.887015342712402
3,0.4429306677409581,0.8071428571428572,0.8069852941176471,0.47802709950053174,0.782608695652174,0.7821969696969697,0.0001,10.770108699798584
4,0.36660723856517247,0.8571428571428571,0.8571355681412317,0.47271874676580017,0.782608695652174,0.782608695652174,0.0001,10.7464120388031
5,0.400784638098308,0.825,0.824979908407853,0.45495461445787677,0.8043478260869565,0.8042553191489361,0.0001,11.052607536315918
6,0.39766353922230857,0.8321428571428572,0.8321407160805622,0.4582216765569604,0.782608695652174,0.782608695652174,0.0001,11.175040006637573
7,0.3373164594173431,0.8714285714285714,0.8714023270055113,0.4489658947872079,0.782608695652174,0.782608695652174,0.0001,11.367130517959595
8,0.35160312886748996,0.8464285714285714,0.8464266125843443,0.4461655746335569,0.8043478260869565,0.8042553191489361,0.0001,10.612351417541504
9,0.30557853494371684,0.875,0.8749218261413384,0.4586148009352062,0.782608695652174,0.7821969696969697,0.0001,10.76310420036316
10,0.288480854673045,0.8714285714285714,0.8714023270055113,0.4706444008194882,0.7391304347826086,0.7386363636363636,0.0001,10.911879062652588
11,0.2753051423600742,0.8892857142857142,0.8892730032784375,0.4648539223100828,0.7391304347826086,0.7371428571428573,0.0001,10.977356195449829
12,0.2985047497919628,0.8785714285714286,0.878565232920047,0.4226629183344219,0.7391304347826086,0.7371428571428573,0.0001,10.738126993179321
13,0.30236087845904486,0.8964285714285715,0.8963637988028234,0.4505946390006853,0.7608695652173914,0.7580105212816833,0.0001,11.08108377456665
14,0.3203605115413666,0.8535714285714285,0.8535546172392239,0.4253732205733009,0.7608695652173914,0.7580105212816833,0.0001,10.975862264633179
15,0.28635952046939306,0.8678571428571429,0.8678554573400171,0.46069317343442334,0.8043478260869565,0.8042553191489361,0.0001,10.684386014938354
16,0.2767139543380056,0.8821428571428571,0.8821052631578947,0.4381991268500038,0.8043478260869565,0.8035121025154248,1e-05,10.705878496170044
17,0.2674203732184001,0.8892857142857142,0.88928430209569,0.44759726913078973,0.7391304347826086,0.7346153846153846,1e-05,10.900289535522461
18,0.2803462158356394,0.8928571428571429,0.8928516761059239,0.42404634149178216,0.8043478260869565,0.8020086083213773,1e-05,10.924377679824829
19,0.2447718471288681,0.9107142857142857,0.9107040349019658,0.4269431797058686,0.782608695652174,0.7821969696969697,1e-05,10.801132202148438
20,0.2760613213692393,0.8964285714285715,0.896427250347581,0.4599803776844688,0.7608695652173914,0.760756501182033,1.0000000000000002e-06,10.888924598693848
21,0.24449732367481505,0.9178571428571428,0.9178477121098085,0.44367222293563513,0.7608695652173914,0.7580105212816833,1.0000000000000002e-06,10.798869609832764
22,0.27713248123015677,0.8785714285714286,0.8785156449390026,0.4510812876017197,0.7391304347826086,0.7346153846153846,1.0000000000000002e-06,11.46850061416626
