epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,0.47227483203877574,0.7777173913043478,0.7770378338034437,0.3732552282371611,0.839622641509434,0.8337307754802951,0.0001,8.613754987716675
2,0.40499339356370595,0.816304347826087,0.8162385638665823,0.2930311020815147,0.9009433962264151,0.9004049959409918,0.0001,8.556695222854614
3,0.3858659286213958,0.8201086956521739,0.8199889818905164,0.3415054311308096,0.8844339622641509,0.8817977860954543,0.0001,8.583516120910645
4,0.36145555687987285,0.839945652173913,0.8398984277255512,0.3362783747461607,0.8655660377358491,0.8618027588393848,0.0001,8.586689710617065
5,0.36927132603266966,0.8342391304347826,0.8341649355522849,0.30827026448722156,0.8844339622641509,0.8823392416709347,0.0001,8.573346376419067
6,0.34943820850356766,0.8426630434782608,0.84257374144945,0.2807191530207418,0.8891509433962265,0.8874581843617906,0.0001,8.572118520736694
7,0.3437539747227793,0.8440217391304348,0.8440159535437142,0.2715734561799832,0.8915094339622641,0.8903401553563258,0.0001,8.587785005569458
8,0.3175867462935655,0.8589673913043478,0.8589254619046253,0.28175400457573385,0.8938679245283019,0.8926600364996241,0.0001,8.583120822906494
9,0.31608370169997213,0.8510869565217392,0.851069716611104,0.29473202345225047,0.8702830188679245,0.8689615766021108,0.0001,8.572190761566162
10,0.3240355517229308,0.8532608695652174,0.8531778928278347,0.2749037724339737,0.8820754716981132,0.8813202195668997,0.0001,8.557542324066162
11,0.32635451736657517,0.8576086956521739,0.8576192588836777,0.28638224922261146,0.8891509433962265,0.8881484383049497,1e-05,8.59948444366455
12,0.28715804539944817,0.8807065217391304,0.8805888274404644,0.28795839550922503,0.8891509433962265,0.8877513712645263,1e-05,8.570786237716675
13,0.2990555138367674,0.8714673913043478,0.8713812331178793,0.281288456734059,0.8867924528301887,0.885704619388419,1e-05,8.580663204193115
14,0.3033061302550461,0.8739130434782608,0.8738219577019304,0.27979884310713354,0.8915094339622641,0.8904669269139015,1e-05,8.575884819030762
15,0.30553476463841356,0.8660326086956521,0.865918846604576,0.27774897653539227,0.8891509433962265,0.8878893714551629,1.0000000000000002e-06,8.553804636001587
16,0.2929639389657456,0.8755434782608695,0.875434708001403,0.28768250184520233,0.8844339622641509,0.883388797381756,1.0000000000000002e-06,8.575673341751099
17,0.2927782589002796,0.8785326086956522,0.8785158837042629,0.28846276431994616,0.875,0.8734217590855295,1.0000000000000002e-06,8.558823108673096
