epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,0.48272101550789204,0.7635593220338983,0.7636131516364048,0.4485320974517306,0.7859327217125383,0.7871384062394978,0.0001,11.087162494659424
2,0.4268698406421532,0.8057203389830508,0.8056057078046974,0.4412332102428518,0.790519877675841,0.7913332356371908,0.0001,11.109392404556274
3,0.4038716235150725,0.8133474576271187,0.8133237020716041,0.41002158096077246,0.8211009174311926,0.822116695197653,0.0001,11.110995292663574
4,0.3957854913958048,0.8220338983050848,0.8219719530678014,0.3825018642418975,0.8394495412844036,0.8402614892013042,0.0001,11.10286569595337
5,0.38409608885393304,0.8292372881355933,0.8292334448811703,0.38748040904692554,0.8348623853211009,0.8358103606561006,0.0001,11.176097869873047
6,0.37486032298055744,0.8292372881355933,0.8291919494508202,0.39243243060527594,0.8165137614678899,0.8174790257197326,0.0001,11.096800088882446
7,0.36702738896769993,0.8351694915254237,0.8351303039580292,0.4473008709170767,0.7844036697247706,0.7848165765132594,0.0001,11.103479146957397
8,0.3582841578429028,0.836864406779661,0.8368244391611874,0.4003962886032708,0.8119266055045872,0.8130090276925197,1e-05,11.102049589157104
9,0.3546718354194851,0.8427966101694915,0.8428103071996006,0.4120426398078236,0.7996941896024465,0.8006188143622017,1e-05,11.10046672821045
10,0.34381395883984484,0.8459745762711864,0.845972863906325,0.40481258778397095,0.8119266055045872,0.8129764221507341,1e-05,11.174056053161621
11,0.34269619573981075,0.8415254237288136,0.8415070162272105,0.4080518812442409,0.808868501529052,0.8099537341855267,1e-05,11.088597536087036
12,0.35220853885856723,0.8434322033898305,0.843426811396745,0.41909188704297445,0.8027522935779816,0.8037037033057074,1.0000000000000002e-06,11.10767126083374
13,0.34173547239121743,0.8457627118644068,0.8457051912869293,0.3964181334144843,0.8165137614678899,0.8175278876079639,1.0000000000000002e-06,11.093829870223999
14,0.3470569268121558,0.8425847457627119,0.842593353553907,0.39063701657891636,0.8195718654434251,0.8205880852590053,1.0000000000000002e-06,11.094895362854004
