epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,0.4969615715639786,0.756706008583691,0.7567938400145783,0.43925206155487984,0.7878787878787878,0.7934455667789002,0.0001,8.788825035095215
2,0.4125498262725675,0.8039163090128756,0.8039406258466855,0.5547767723901104,0.7474747474747475,0.758732062885952,0.0001,8.873405694961548
3,0.39825734297860843,0.8175965665236051,0.8175633876221245,0.5089802605786709,0.7494949494949495,0.7601973304473304,0.0001,8.793396472930908
4,0.36177420398708066,0.8428111587982833,0.8427871034037022,0.45111574179897407,0.7838383838383839,0.790059181672317,0.0001,8.797525405883789
5,0.35448779543070325,0.8521995708154506,0.8522257675233407,0.48381995284045587,0.7797979797979798,0.78778753847247,1e-05,8.796427488327026
6,0.36116520165118027,0.8336909871244635,0.833695787505612,0.5039239928878919,0.7616161616161616,0.7718006854256856,1e-05,8.800671815872192
7,0.356169133419131,0.842274678111588,0.8422960682367843,0.5063279144014373,0.7676767676767676,0.7770651299654864,1e-05,8.80280065536499
8,0.3441610619297867,0.8489806866952789,0.8489458552424444,0.49086614578510773,0.7696969696969697,0.7783622595549201,1e-05,8.790985584259033
9,0.3442401761916574,0.8500536480686696,0.8500761363496714,0.45221995916782004,0.795959595959596,0.8015775190654844,1.0000000000000002e-06,8.805016994476318
10,0.3524826382298838,0.8387875536480687,0.8387109086487289,0.49048023996780615,0.7656565656565657,0.775040200576263,1.0000000000000002e-06,8.799118518829346
11,0.34623807771011483,0.8508583690987125,0.8508966593568209,0.4870870503136004,0.7797979797979798,0.78778753847247,1.0000000000000002e-06,8.795132160186768
