epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,0.9311378079589151,0.656806049822064,0.6471715729121545,0.8893244544801102,0.656392694063927,0.6541073136040532,0.0001,21.724969387054443
2,0.6724457132010273,0.7552268683274022,0.7521306608793026,0.8140449845763646,0.690068493150685,0.6874241959859461,0.0001,21.73369526863098
3,0.6036773740555892,0.7720195729537367,0.7697166025843718,0.8417858689274962,0.6655251141552512,0.66631306859443,0.0001,21.73204779624939
4,0.5588492252250795,0.7978202846975089,0.7964056651622249,0.878415799100105,0.6752283105022832,0.6763170229306881,0.0001,21.742018699645996
5,0.515552950154632,0.8113879003558719,0.8102225276300162,0.8385015803316956,0.6752283105022832,0.67210441704362,0.0001,21.764657735824585
6,0.48111859815082514,0.8240658362989324,0.8225757605323255,0.8352387956934705,0.6763698630136986,0.6811234898735314,1e-05,22.49117088317871
7,0.4613076651806933,0.8330738434163701,0.832047396405864,0.8502310918618555,0.6837899543378996,0.6836422217994049,1e-05,21.77342700958252
8,0.455372548798013,0.8336298932384342,0.832104573861345,0.8867908451008742,0.660958904109589,0.6621212276250992,1e-05,21.7563316822052
9,0.44571337231113395,0.8394128113879004,0.83775870985596,0.863936282218047,0.6786529680365296,0.6787131727549343,1e-05,22.873766899108887
10,0.44992252115783316,0.8381895017793595,0.8367983986002866,0.9098435976461733,0.6592465753424658,0.6561245853960564,1.0000000000000002e-06,21.77733016014099
11,0.4487321524486423,0.8357428825622776,0.8342636547395929,0.8543373385112579,0.6837899543378996,0.682527257531689,1.0000000000000002e-06,22.81758689880371
12,0.44931098512536266,0.8377446619217082,0.8366635869324334,0.8851009832958788,0.6672374429223744,0.6627117016324671,1.0000000000000002e-06,22.15004253387451
