epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,0.986691877568439,0.6463744588744589,0.6369826578179528,0.9293586964824517,0.6330049261083743,0.6046183819755726,0.0001,11.337321996688843
2,0.7387108684102178,0.7218614718614719,0.7095983136244058,0.8567561910217032,0.6477832512315271,0.6164515956248947,0.0001,10.933785676956177
3,0.6532923328928101,0.7491883116883117,0.7396644838116608,0.8172632791285445,0.6600985221674877,0.6343653291880039,0.0001,10.865342140197754
4,0.6239568788509864,0.7610930735930735,0.7533662606700704,0.8154706753827081,0.6502463054187192,0.6302937809553222,0.0001,10.841145038604736
5,0.5906526803712309,0.7740800865800865,0.7690245125120656,0.8030732152203621,0.6674876847290641,0.648662599434115,0.0001,10.870890378952026
6,0.5549871994432433,0.792478354978355,0.7872076010701718,0.7658159757776214,0.6724137931034483,0.6536846433816031,0.0001,10.860169649124146
7,0.5382423710513424,0.7886904761904762,0.784322581663475,0.7627348892500835,0.6773399014778325,0.6623025441642179,0.0001,10.815875768661499
8,0.5225294965815235,0.7997835497835498,0.7965543511649779,0.7465364483776938,0.6773399014778325,0.6666232235442596,0.0001,10.760937690734863
9,0.5020437932117677,0.8062770562770563,0.80320329393621,0.7504570036392494,0.6896551724137931,0.6774915368968059,0.0001,10.791441917419434
10,0.4659921901695656,0.8168290043290043,0.8137162153485149,0.7369245974888355,0.6970443349753694,0.6895453807838248,0.0001,10.816525220870972
11,0.4840668864967503,0.8127705627705628,0.8096856727039918,0.7469303249725567,0.7068965517241379,0.7007418208992378,0.0001,10.829819917678833
12,0.4791904691106829,0.816017316017316,0.8136734417792152,0.7286393235396282,0.7118226600985221,0.7036991919696902,0.0001,10.76987600326538
13,0.4598731379230301,0.8244047619047619,0.8222686797300341,0.7479702785537747,0.6921182266009852,0.6780996459263111,0.0001,10.824608087539673
14,0.446594495213393,0.8241341991341992,0.8218750415831609,0.7857855676577009,0.7044334975369458,0.6943997864540253,0.0001,10.757059812545776
15,0.43983768455651934,0.832521645021645,0.8314073062334918,0.7626400182546653,0.7118226600985221,0.7039541439611813,0.0001,10.731070756912231
16,0.4265617649534564,0.8390151515151515,0.8369789025988368,0.8113045089056926,0.6748768472906403,0.6667548840461254,1e-05,10.829583406448364
17,0.4283301667733626,0.8352272727272727,0.8339278512780549,0.8043550873918487,0.6847290640394089,0.68216859357907,1e-05,10.832294940948486
18,0.43704664133069837,0.832521645021645,0.8307375446829381,0.767153148727464,0.7044334975369458,0.7017012137093014,1e-05,10.87258529663086
19,0.42028758400704436,0.8425324675324676,0.8408565399403481,0.7884976033653531,0.6773399014778325,0.6727755095899134,1e-05,11.003694772720337
20,0.4103712286977541,0.8471320346320347,0.8455852994520892,0.7705698697437794,0.6970443349753694,0.6921514209463757,1.0000000000000002e-06,10.843589305877686
21,0.41178784767786664,0.8506493506493507,0.8496090678203922,0.7735870486409794,0.7044334975369458,0.7004167985453158,1.0000000000000002e-06,10.847090005874634
22,0.4322536966372362,0.8341450216450217,0.8327579887373336,0.803747356451791,0.6896551724137931,0.6848977187911525,1.0000000000000002e-06,10.80228042602539
