epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,0.9451371820055341,0.6481291118421053,0.6386061086761995,0.8195523552946236,0.6552346570397112,0.6515045627793697,0.0001,23.048340559005737
2,0.7204953435514319,0.7335526315789473,0.7289030212138606,0.8107014166462436,0.6389891696750902,0.6338966239177256,0.0001,23.02985692024231
3,0.6409042661666478,0.7635690789473685,0.760708960895047,0.7679364253037243,0.6648616125150422,0.663654153862279,0.0001,23.032857179641724
4,0.5858016149631065,0.7809416118421053,0.7784223809785437,0.811361797234642,0.6359807460890493,0.6352042215629213,0.0001,23.02110481262207
5,0.5621046655027098,0.7886513157894737,0.7862230101529842,0.8362653725629249,0.6299638989169675,0.6297749416410818,0.0001,23.02817463874817
6,0.5355616707452818,0.802734375,0.7996877638825716,0.8084482183740458,0.6648616125150422,0.6639973912530857,0.0001,23.027364015579224
7,0.5128285525562731,0.8062294407894737,0.8043480801670674,0.8295440043711634,0.6546329723225031,0.6520099909546428,1e-05,23.04155158996582
8,0.49151656910237906,0.8209292763157895,0.8190389321843933,0.8060364268460142,0.6666666666666666,0.673779318316601,1e-05,23.03988003730774
9,0.47938630085340456,0.8219572368421053,0.8198259411097965,0.8092667598873556,0.6570397111913358,0.6543361629587131,1e-05,23.01828169822693
10,0.48654963430262316,0.8197985197368421,0.8177624198047709,0.8328316864948697,0.6540312876052948,0.6540717055164744,1e-05,23.026623010635376
11,0.4800520500805425,0.8206208881578947,0.8188638894938033,0.8376125266369786,0.6419975932611311,0.6455925863250466,1.0000000000000002e-06,23.02906060218811
12,0.48714147736073327,0.8178453947368421,0.8163030393542909,0.8343883288753018,0.6450060168471721,0.6460895254889664,1.0000000000000002e-06,23.043680429458618
13,0.47915357138079245,0.8276110197368421,0.8258561706169443,0.8469995110689087,0.6389891696750902,0.6425199012317014,1.0000000000000002e-06,23.028119802474976
