epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,1.4600263658691854,0.375,0.3984972002812124,1.4678706863652105,0.32608695652173914,0.35883699017364384,0.0001,7.243396997451782
2,1.2755060073207407,0.5257352941176471,0.5445516196717384,1.276098583055579,0.5,0.5067690825057667,0.0001,7.117210388183594
3,1.0607771031996782,0.5735294117647058,0.5771896407594335,1.1833125145538994,0.5217391304347826,0.538143016403886,0.0001,6.989978551864624
4,1.0908366879996132,0.5882352941176471,0.5987203840816014,1.122988408026488,0.5869565217391305,0.5797101449275361,0.0001,7.115801811218262
5,1.0086130166755003,0.5882352941176471,0.6055702740999669,1.0526810651240142,0.6304347826086957,0.6137123745819397,0.0001,7.119645118713379
6,0.9033042683320887,0.7022058823529411,0.709549514058387,0.9654245557992355,0.6521739130434783,0.6322609593036299,0.0001,6.910836935043335
7,0.8675423913142261,0.6764705882352942,0.6897987858053747,1.0044147372245789,0.6521739130434783,0.6409937888198758,0.0001,7.149831056594849
8,0.7943945334238165,0.7169117647058824,0.7316511326829982,0.9712541310683541,0.6086956521739131,0.5972771190162495,0.0001,7.134870529174805
9,0.8013106803683674,0.6764705882352942,0.6837816343388378,0.9541213797486346,0.6304347826086957,0.616205533596838,0.0001,7.2038445472717285
10,0.8370783968883402,0.6727941176470589,0.6832403361250111,0.9550477201523988,0.6086956521739131,0.599104410852792,0.0001,6.95539927482605
11,0.7498478346011218,0.6911764705882353,0.6999503483938366,0.9174505238947661,0.6086956521739131,0.6081473661813925,0.0001,6.902706861495972
12,0.7179190200917861,0.7132352941176471,0.7173010434639748,0.926845344512359,0.6086956521739131,0.591388408910475,0.0001,7.3618574142456055
13,0.7212220894939759,0.7389705882352942,0.7431347802233754,0.8652567047139873,0.6739130434782609,0.6566013696448479,0.0001,6.952881097793579
14,0.7448165872517754,0.7205882352941176,0.7279079424071735,0.8597777524720067,0.6086956521739131,0.6031351671103223,0.0001,7.2561562061309814
15,0.6414925412220114,0.7610294117647058,0.7617547612638778,0.8356677112372025,0.6739130434782609,0.6680044593088071,0.0001,6.969478607177734
16,0.6647829685141059,0.75,0.7561491274680711,0.8604972556881283,0.6521739130434783,0.6439111613024657,0.0001,7.123775482177734
17,0.7090623624184552,0.7132352941176471,0.7217744810476567,0.8353519141674042,0.6304347826086957,0.6213911124397058,0.0001,7.1482930183410645
18,0.6288980526082656,0.7610294117647058,0.7696359296011691,0.8238210211629453,0.6739130434782609,0.6654653956444239,0.0001,7.2183849811553955
19,0.6019604013246649,0.7794117647058824,0.781195307768866,0.8606458215609841,0.6521739130434783,0.6420118004238987,0.0001,7.305343866348267
20,0.6346150540253696,0.7647058823529411,0.7684823767854874,0.8596068218998287,0.6521739130434783,0.6371214648430261,0.0001,7.2901692390441895
21,0.5807372875073377,0.8088235294117647,0.8106916165444993,0.8364993554094563,0.6521739130434783,0.6440913124142938,0.0001,6.8830859661102295
22,0.5623837753253824,0.75,0.7528340633803788,0.8934366715990979,0.6739130434782609,0.6703557312252965,1e-05,7.110766410827637
23,0.5699211218777824,0.7830882352941176,0.7858864072396868,0.8711819998596025,0.6521739130434783,0.649459815546772,1e-05,7.443310022354126
24,0.6252483024316675,0.7904411764705882,0.792294166873366,0.8838433830634408,0.6739130434782609,0.661381074168798,1e-05,7.149107217788696
25,0.5846431163303992,0.7720588235294118,0.7727761991139028,0.8630671799182892,0.6739130434782609,0.6675432228227259,1e-05,7.1666247844696045
26,0.5413302389137885,0.8235294117647058,0.8234776736045168,0.8597440188345702,0.6739130434782609,0.6623188405797102,1.0000000000000002e-06,7.267217397689819
27,0.574983664733522,0.8051470588235294,0.8078197136950014,0.8575019577275151,0.6304347826086957,0.616205533596838,1.0000000000000002e-06,6.937424898147583
28,0.6073644980788231,0.7647058823529411,0.7726034320404755,0.8825338107088337,0.6739130434782609,0.6675432228227259,1.0000000000000002e-06,6.896552562713623
