epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr,time_s
1,0.4983502080256335,0.7502682403433476,0.7502645818046754,0.4685959325294302,0.7838383838383839,0.7916813451060026,0.0001,10.452807664871216
2,0.44394913087139315,0.7862124463519313,0.7860937054738637,0.5529682956109143,0.7333333333333333,0.7457616850738616,0.0001,10.568435668945312
3,0.4214850191042914,0.8004291845493562,0.8004175477503188,0.605411687222394,0.7111111111111111,0.7248642531893669,0.0001,10.5353684425354
4,0.4076438121369724,0.8141094420600858,0.8140955557480819,0.4796178441532333,0.7676767676767676,0.7765173834490978,0.0001,10.66684079170227
5,0.4032096450293013,0.8141094420600858,0.8141423900066699,0.4998215942709434,0.7636363636363637,0.7735137599614722,1e-05,10.527435064315796
6,0.3824032114682791,0.8272532188841202,0.8272903017689532,0.48864196047487884,0.7696969696969697,0.7793949810707786,1e-05,10.39041781425476
7,0.40710945838318874,0.8178648068669528,0.8178345831300377,0.4764739777554165,0.7717171717171717,0.7804040376499831,1e-05,10.386980056762695
8,0.3753526382180243,0.83181330472103,0.8317745137424736,0.47610032418460557,0.7858585858585858,0.7931052474490689,1e-05,10.468797206878662
9,0.38741425946035096,0.8261802575107297,0.8261426631647318,0.4328848602645325,0.797979797979798,0.8036689899897446,1e-05,10.386783599853516
10,0.38812563782597814,0.825107296137339,0.825107296137339,0.47853516349286745,0.7737373737373737,0.7818409679983636,1e-05,10.40671443939209
11,0.3926641793497898,0.8342274678111588,0.834273755463451,0.4989816576693997,0.7676767676767676,0.7768916361788771,1e-05,10.331055879592896
12,0.37706646142535455,0.8253755364806867,0.8253518277011198,0.4607160562442409,0.7757575757575758,0.7832295305581869,1e-05,10.400871515274048
13,0.3868280318705565,0.8331545064377682,0.8331344677144098,0.5020674068518359,0.7656565656565657,0.7746719014298061,1.0000000000000002e-06,10.447357654571533
14,0.37637133379926496,0.8315450643776824,0.8314735797399772,0.4773106858360045,0.7818181818181819,0.789632361998422,1.0000000000000002e-06,10.33659815788269
15,0.3866767924550777,0.8208154506437768,0.8207880291359609,0.5010102744882154,0.7717171717171717,0.7804040376499831,1.0000000000000002e-06,10.308119297027588
16,0.39194882143081,0.8181330472103004,0.8180491934888928,0.4466987321021581,0.7838383838383839,0.7903187329196296,1.0000000000000002e-06,10.35522747039795
17,0.37050718852506687,0.8369098712446352,0.8369192861857264,0.523150454348687,0.7696969696969697,0.7793949810707786,1.0000000000000002e-07,10.38770604133606
18,0.3734199603611819,0.8307403433476395,0.8307226418064788,0.4883125370725839,0.7737373737373737,0.7818409679983636,1.0000000000000002e-07,10.419537544250488
19,0.3844338791852601,0.8296673819742489,0.8297060220056928,0.4813487863751373,0.7818181818181819,0.7894214876033058,1.0000000000000002e-07,10.350346803665161
