num_points,radius,n_bins,f1_weighted_mean,f1_weighted_std,accuracy_mean,accuracy_std,auc_weighted_mean,auc_weighted_std
8,1,10,0.8293602941266496,0.04011331060244378,0.8295943247761048,0.04032206318719001,0.8978885650638198,0.028340951998240594
8,2,10,0.8436749111390272,0.03972222498296163,0.8436274859735979,0.039776595890616585,0.9006793791660552,0.027308496707589138
16,1,18,0.8179644168359465,0.03941426724697436,0.8181833542122927,0.03916045213150145,0.8982428027163888,0.02468112060350348
16,2,18,0.8199630341160233,0.045757464107688994,0.8203010514272021,0.045558587632487,0.8956822849945253,0.031374343395942875
